# Experiment Info:
# Start_Time: 20250117_132136
# OSC_IP: 127.0.0.1
# OSC_Port: 5002
# Log_Path: \\megstoreemo2.uni-muenster.de\EmoData\trajdos\EmoScenesApp\logs\ShamScenes_20250117_132136.txt
#
# Format for break lines:
# BREAK,<time>,<reason>,<details>
#
Timestamp,Trial,StimFile,StimON,StimOFF,Stim_Duration,Target_ITI,Actual_ITI,ITI_Error,EEGConnected
1737117427.893316,339,checkerboard195.png,1737117427.289783,1737117427.893316,0.603533,2.807818,2.837876,0.030058,1
1737117430.824584,340,checkerboard195_inverted.png,1737117430.225664,1737117430.824584,0.598919,2.295962,2.332348,0.036386,1
1737117434.222632,341,checkerboard255.png,1737117433.618793,1737117434.222632,0.603839,2.767100,2.794209,0.027109,1
1737117437.862221,342,checkerboard255_inverted.png,1737117437.257177,1737117437.862221,0.605044,3.001982,3.034545,0.032563,1
1737117439.884734,343,checkerboard255.png,1737117439.284905,1737117439.884734,0.599829,1.406141,1.422683,0.016543,1
1737117441.712218,344,checkerboard255_inverted.png,1737117441.105363,1737117441.712218,0.606855,1.212547,1.220628,0.008082,1
1737117443.695731,345,checkerboard225.png,1737117443.096700,1737117443.695731,0.599031,1.334188,1.384483,0.050294,1
1737117447.134625,346,checkerboard225_inverted.png,1737117446.528150,1737117447.134625,0.606475,2.813122,2.832419,0.019297,1
1737117450.280274,347,checkerboard195.png,1737117449.676172,1737117450.280274,0.604102,2.502078,2.541547,0.039469,1
1737117453.623250,348,checkerboard195_inverted.png,1737117453.019305,1737117453.623250,0.603945,2.703662,2.739031,0.035369,1
1737117456.075338,349,checkerboard255.png,1737117455.468737,1737117456.075338,0.606601,1.830965,1.845486,0.014521,1
1737117458.445423,350,checkerboard255_inverted.png,1737117457.841325,1737117458.445423,0.604098,1.739432,1.765988,0.026555,1
1737117461.960198,351,checkerboard195.png,1737117461.355523,1737117461.960198,0.604675,2.884724,2.910100,0.025376,1
1737117465.514689,352,checkerboard195_inverted.png,1737117464.909144,1737117465.514689,0.605545,2.924953,2.948946,0.023994,1
1737117467.944720,353,checkerboard195.png,1737117467.337863,1737117467.944720,0.606857,1.803542,1.823174,0.019632,1
1737117469.707648,354,checkerboard195_inverted.png,1737117469.101791,1737117469.707648,0.605856,1.145392,1.157071,0.011679,1
1737117472.080726,355,checkerboard255.png,1737117471.481680,1737117472.080726,0.599046,1.749921,1.774033,0.024111,1
1737117475.161365,356,checkerboard255_inverted.png,1737117474.558117,1737117475.161365,0.603248,2.458961,2.477391,0.018430,1
1737117478.733540,357,checkerboard255.png,1737117478.126200,1737117478.733540,0.607340,2.956793,2.964835,0.008042,1
1737117480.545326,358,checkerboard255_inverted.png,1737117479.949511,1737117480.545326,0.595815,1.206996,1.215971,0.008975,1
1737117483.386175,359,checkerboard255.png,1737117482.782921,1737117483.386175,0.603254,2.221452,2.237595,0.016143,1
1737117486.730042,360,checkerboard255_inverted.png,1737117486.127931,1737117486.730042,0.602112,2.726436,2.741755,0.015319,1
1737117488.705945,361,checkerboard255.png,1737117488.099047,1737117488.705945,0.606898,1.367917,1.369005,0.001088,1
1737117491.474696,362,checkerboard255_inverted.png,1737117490.873743,1737117491.474696,0.600952,2.148673,2.167799,0.019126,1
1737117494.816291,363,checkerboard195.png,1737117494.207940,1737117494.816291,0.608351,2.703243,2.733244,0.030002,1
1737117498.433367,364,checkerboard195_inverted.png,1737117497.827945,1737117498.433367,0.605422,2.982023,3.011654,0.029631,1
1737117501.624791,365,checkerboard195.png,1737117501.022417,1737117501.624791,0.602374,2.574437,2.589050,0.014612,1
1737117504.655278,366,checkerboard195_inverted.png,1737117504.053890,1737117504.655278,0.601388,2.417284,2.429099,0.011816,1
1737117506.866112,367,checkerboard225.png,1737117506.260447,1737117506.866112,0.605665,1.570215,1.605169,0.034954,1
1737117510.636452,368,checkerboard225_inverted.png,1737117510.034772,1737117510.636452,0.601680,2.921241,3.168661,0.247419,1
1737117514.164828,369,checkerboard225.png,1737117513.563430,1737117514.164828,0.601398,2.897221,2.926978,0.029757,1
1737117517.083021,370,checkerboard225_inverted.png,1737117516.481055,1737117517.083021,0.601966,2.306416,2.316227,0.009812,1
1737117520.553484,371,checkerboard255.png,1737117519.947917,1737117520.553484,0.605567,2.847468,2.864896,0.017428,1
1737117522.540898,372,checkerboard255_inverted.png,1737117521.940528,1737117522.540898,0.600369,1.115409,1.387044,0.271635,1
1737117526.039757,373,checkerboard195.png,1737117525.436978,1737117526.039757,0.602779,2.879572,2.896080,0.016508,1
1737117528.677799,374,checkerboard195_inverted.png,1737117528.069445,1737117528.677799,0.608354,2.010896,2.029689,0.018792,1
1737117531.302790,375,checkerboard195.png,1737117530.698864,1737117531.302790,0.603927,2.014738,2.021065,0.006327,1
1737117533.993622,376,checkerboard195_inverted.png,1737117533.393079,1737117533.993622,0.600543,2.066677,2.090289,0.023611,1
1737117537.620597,377,checkerboard225.png,1737117537.019673,1737117537.620597,0.600924,2.985125,3.026052,0.040926,1
1737117540.725025,378,checkerboard225_inverted.png,1737117540.124629,1737117540.725025,0.600396,2.472836,2.504033,0.031196,1
1737117543.257996,379,checkerboard225.png,1737117542.660631,1737117543.257996,0.597365,1.921919,1.935606,0.013687,1
1737117544.988358,380,checkerboard225_inverted.png,1737117544.384917,1737117544.988358,0.603441,1.106581,1.126921,0.020340,1
1737117548.583187,381,checkerboard195.png,1737117547.981040,1737117548.583187,0.602146,2.960830,2.992682,0.031853,1
1737117550.344728,382,checkerboard195_inverted.png,1737117549.742480,1737117550.344728,0.602248,1.137186,1.159294,0.022108,1
1737117553.220314,383,checkerboard255.png,1737117552.618763,1737117553.220314,0.601550,2.223919,2.274035,0.050116,1
1737117555.275164,384,checkerboard255_inverted.png,1737117554.674444,1737117555.275164,0.600719,1.412734,1.454131,0.041397,1
1737117557.902473,385,checkerboard195.png,1737117557.300979,1737117557.902473,0.601494,2.007071,2.025815,0.018744,1
1737117560.722520,386,checkerboard195_inverted.png,1737117560.124240,1737117560.722520,0.598280,2.189432,2.221767,0.032335,1
1737117563.340724,387,checkerboard195.png,1737117562.738713,1737117563.340724,0.602011,2.002054,2.016193,0.014139,1
1737117565.694588,388,checkerboard195_inverted.png,1737117565.091866,1737117565.694588,0.602722,1.736632,1.751141,0.014509,1
1737117568.138517,389,checkerboard255.png,1737117567.539889,1737117568.138517,0.598627,1.807543,1.845301,0.037759,1
1737117570.902903,390,checkerboard255_inverted.png,1737117570.308061,1737117570.902903,0.594842,2.150519,2.169544,0.019025,1
1737117572.724478,391,checkerboard225.png,1737117572.127604,1737117572.724478,0.596874,1.189708,1.224701,0.034993,1
1737117575.559858,392,checkerboard225_inverted.png,1737117574.956947,1737117575.559858,0.602911,2.193123,2.232469,0.039346,1
1737117578.706957,393,checkerboard255.png,1737117578.107708,1737117578.706957,0.599250,2.527949,2.547850,0.019901,1
1737117581.983914,394,checkerboard255_inverted.png,1737117581.387331,1737117581.983914,0.596583,2.653016,2.680373,0.027357,1
1737117583.822641,395,checkerboard195.png,1737117583.222864,1737117583.822641,0.599777,1.207126,1.238951,0.031825,1
1737117585.888827,396,checkerboard195_inverted.png,1737117585.291258,1737117585.888827,0.597569,1.430033,1.468617,0.038584,1
1737117588.982614,397,checkerboard255.png,1737117588.384630,1737117588.982614,0.597983,2.491391,2.495803,0.004412,1
1737117591.178849,398,checkerboard255_inverted.png,1737117590.577234,1737117591.178849,0.601615,1.583457,1.594620,0.011163,1
1737117594.269559,399,checkerboard225.png,1737117593.668685,1737117594.269559,0.600874,2.438502,2.489836,0.051335,1
1737117597.381474,400,checkerboard225_inverted.png,1737117596.780966,1737117597.381474,0.600509,2.494899,2.511407,0.016508,1
1737117599.903311,401,checkerboard195.png,1737117599.305541,1737117599.903311,0.597769,1.882688,1.924067,0.041379,1
1737117602.074801,402,checkerboard195_inverted.png,1737117601.474341,1737117602.074801,0.600461,1.528324,1.571030,0.042706,1
1737117603.925164,403,checkerboard255.png,1737117603.324680,1737117603.925164,0.600485,1.196807,1.249878,0.053071,1
1737117607.439128,404,checkerboard255_inverted.png,1737117606.840979,1737117607.439128,0.598150,2.889273,2.915815,0.026541,1
1737117610.419623,405,checkerboard195.png,1737117609.811901,1737117610.419623,0.607722,2.352272,2.372773,0.020501,1
1737117612.431849,406,checkerboard195_inverted.png,1737117611.831056,1737117612.431849,0.600792,1.384396,1.411434,0.027037,1
1737117614.801167,407,checkerboard195.png,1737117614.204367,1737117614.801167,0.596801,1.750290,1.772518,0.022228,1
1737117617.840994,408,checkerboard195_inverted.png,1737117617.243061,1737117617.840994,0.597933,2.429247,2.441894,0.012646,1
1737117621.052984,409,checkerboard255.png,1737117620.451929,1737117621.052984,0.601056,2.556900,2.610934,0.054034,1
1737117622.997730,410,checkerboard255_inverted.png,1737117622.399888,1737117622.997730,0.597842,1.304011,1.346903,0.042893,1
1737117625.523726,411,checkerboard225.png,1737117624.925288,1737117625.523726,0.598438,1.876679,1.927559,0.050879,1
1737117627.218355,412,checkerboard225_inverted.png,1737117626.618075,1737117627.218355,0.600281,1.054562,1.094349,0.039787,1
1737117630.631569,413,checkerboard255.png,1737117630.035038,1737117630.631569,0.596531,2.807253,2.816683,0.009430,1
1737117632.274060,414,checkerboard255_inverted.png,1737117631.673082,1737117632.274060,0.600979,1.005370,1.041512,0.036143,1
1737117634.817765,415,checkerboard195.png,1737117634.219434,1737117634.817765,0.598331,1.927426,1.945374,0.017948,1
1737117637.388567,416,checkerboard195_inverted.png,1737117636.789982,1737117637.388567,0.598584,1.945090,1.972217,0.027128,1
1737117639.642679,417,checkerboard225.png,1737117639.043104,1737117639.642679,0.599576,1.636202,1.654537,0.018335,1
1737117642.047737,418,checkerboard225_inverted.png,1737117641.451641,1737117642.047737,0.596097,1.764640,1.808961,0.044321,1
1737117643.962365,419,checkerboard255.png,1737117643.364461,1737117643.962365,0.597904,1.302283,1.316724,0.014440,1
1737117646.873977,420,checkerboard255_inverted.png,1737117646.277048,1737117646.873977,0.596929,2.285307,2.314683,0.029376,1
1737117648.652405,421,checkerboard195.png,1737117648.053725,1737117648.652405,0.598681,1.157517,1.179747,0.022230,1
1737117652.095874,422,checkerboard195_inverted.png,1737117651.497012,1737117652.095874,0.598862,2.830102,2.844607,0.014505,1
1737117653.940502,423,checkerboard195.png,1737117653.339248,1737117653.940502,0.601254,1.226449,1.243375,0.016926,1
1737117655.923837,424,checkerboard195_inverted.png,1737117655.323918,1737117655.923837,0.599919,1.374126,1.383416,0.009290,1
1737117659.185716,425,checkerboard225.png,1737117658.586289,1737117659.185716,0.599427,2.613331,2.662452,0.049120,1
1737117661.447260,426,checkerboard225_inverted.png,1737117660.849618,1737117661.447260,0.597643,1.638450,1.663901,0.025451,1
1737117663.656613,427,checkerboard195.png,1737117663.057784,1737117663.656613,0.598829,1.577345,1.610524,0.033179,1
1737117666.795541,428,checkerboard195_inverted.png,1737117666.196995,1737117666.795541,0.598546,2.532799,2.540382,0.007583,1
1737117669.022895,429,checkerboard225.png,1737117668.423850,1737117669.022895,0.599045,1.601573,1.628309,0.026736,1
1737117671.219109,430,checkerboard225_inverted.png,1737117670.624398,1737117671.219109,0.594712,1.586119,1.601503,0.015384,1
1737117673.844177,431,checkerboard255.png,1737117673.246523,1737117673.844177,0.597654,2.007926,2.027413,0.019487,1
1737117676.309331,432,checkerboard255_inverted.png,1737117675.709930,1737117676.309331,0.599401,1.847663,1.865754,0.018091,1
1737117678.297509,433,checkerboard255.png,1737117677.698317,1737117678.297509,0.599192,1.381532,1.388986,0.007454,1
1737117681.691626,434,checkerboard255_inverted.png,1737117681.091288,1737117681.691626,0.600338,2.777150,2.793779,0.016628,1
1737117683.759091,435,checkerboard255.png,1737117683.155643,1737117683.759091,0.603448,1.444525,1.464017,0.019492,1
1737117686.624264,436,checkerboard255_inverted.png,1737117686.017172,1737117686.624264,0.607092,2.244838,2.258081,0.013243,1
1737117688.486766,437,checkerboard195.png,1737117687.886958,1737117688.486766,0.599808,1.242075,1.262694,0.020619,1
1737117691.989330,438,checkerboard195_inverted.png,1737117691.393171,1737117691.989330,0.596159,2.853336,2.906404,0.053069,1
1737117695.411399,439,checkerboard195.png,1737117694.814906,1737117695.411399,0.596493,2.806508,2.825577,0.019068,1
1737117698.594601,440,checkerboard195_inverted.png,1737117697.987877,1737117698.594601,0.606724,2.568297,2.576478,0.008181,1
1737117700.618865,441,checkerboard255.png,1737117700.019867,1737117700.618865,0.598999,1.394462,1.425266,0.030804,1
1737117703.497564,442,checkerboard255_inverted.png,1737117702.896933,1737117703.497564,0.600631,2.248871,2.278067,0.029197,1
1737117705.861073,443,checkerboard195.png,1737117705.262789,1737117705.861073,0.598284,1.751028,1.765224,0.014196,1
1737117708.345317,444,checkerboard195_inverted.png,1737117707.745719,1737117708.345317,0.599598,1.864580,1.884646,0.020066,1
1737117710.670108,445,checkerboard255.png,1737117710.071255,1737117710.670108,0.598852,1.707159,1.725939,0.018780,1
1737117712.793285,446,checkerboard255_inverted.png,1737117712.194284,1737117712.793285,0.599001,1.518197,1.524176,0.005979,1
1737117714.524180,447,checkerboard225.png,1737117713.923802,1737117714.524180,0.600378,1.103548,1.130517,0.026969,1
1737117718.041221,448,checkerboard225_inverted.png,1737117717.437006,1737117718.041221,0.604215,2.891826,2.912826,0.021000,1
