# Experiment Info:
# POSIX_Start: 1738668221.931160
# System_Time: 20250204_122341
# Display_Hz: 60.0
# ITI_Range: 1.005006 - 3.004990
# Images_N: 51
# Log_Path: \\megstoreemo2.uni-muenster.de\EmoData\trajdos\EmoScenesApp\logs\EmoScenes_20250204_122341.txt
#
# Format for break lines:
# BREAK,<POSIX_time>,<reason>,<details>
#
Timestamp,BlockTrial,StimFile,StimON,StimOFF,Stim_Duration,Target_ITI,Actual_ITI,ITI_Error
1738668671.004147,t172,highpos_06.jpg,1738668670.409363,1738668671.004147,0.594784,2.226964,2.254176,0.027212
1738668673.919261,t173,highpos_05.jpg,1738668673.305989,1738668673.919261,0.613272,2.277353,2.301842,0.024489
1738668676.261429,t174,neutral_24.jpg,1738668675.666093,1738668676.261429,0.595336,1.731680,1.746832,0.015151
1738668678.723967,t175,neutral_12.jpg,1738668678.111028,1738668678.723967,0.612939,1.822588,1.849599,0.027011
1738668681.249143,t176,highpos_14.jpg,1738668680.652700,1738668681.249143,0.596443,1.926433,1.928733,0.002300
1738668684.396020,t177,highpos_10.jpg,1738668683.794854,1738668684.396020,0.601165,2.516180,2.545712,0.029532
1738668687.705503,t178,neutral_20.jpg,1738668687.104945,1738668687.705503,0.600558,2.681691,2.708925,0.027234
1738668689.615792,t179,neutral_02.jpg,1738668689.012415,1738668689.615792,0.603377,1.283870,1.306912,0.023043
1738668692.725373,t180,neutral_22.jpg,1738668692.125462,1738668692.725373,0.599911,2.497947,2.509670,0.011723
1738668695.267585,t181,neutral_08.jpg,1738668694.659110,1738668695.267585,0.608475,1.903081,1.933737,0.030656
1738668697.677006,t182,highpos_16.jpg,1738668697.067665,1738668697.677006,0.609341,1.779167,1.800080,0.020913
1738668700.892954,t183,highpos_13.jpg,1738668700.291192,1738668700.892954,0.601762,2.607752,2.614185,0.006433
1738668704.496133,t184,highpos_19.jpg,1738668703.883898,1738668704.496133,0.612236,2.974059,2.990943,0.016884
1738668706.313486,t185,neutral_15.jpg,1738668705.707424,1738668706.313486,0.606062,1.209984,1.211291,0.001307
1738668709.415552,t186,neutral_25.jpg,1738668708.813430,1738668709.415552,0.602122,2.488589,2.499944,0.011355
1738668712.744033,t187,highpos_03.jpg,1738668712.146814,1738668712.744033,0.597219,2.702599,2.731262,0.028663
1738668715.858611,t188,highpos_25.jpg,1738668715.246755,1738668715.858611,0.611856,2.484333,2.502722,0.018389
1738668718.612880,t189,neutral_13.jpg,1738668718.013729,1738668718.612880,0.599151,2.145711,2.155118,0.009407
1738668721.814389,t190,highpos_12.jpg,1738668721.202806,1738668721.814389,0.611583,2.554169,2.589926,0.035757
1738668723.896596,t191,highpos_11.jpg,1738668723.300741,1738668723.896596,0.595855,1.479781,1.486352,0.006571
1738668726.216090,t192,neutral_05.jpg,1738668725.617675,1738668726.216090,0.598416,1.701740,1.721078,0.019339
1738668727.915335,t193,neutral_07.jpg,1738668727.319200,1738668727.915335,0.596135,1.085282,1.103110,0.017828
1738668730.759307,t194,neutral_01.jpg,1738668730.154478,1738668730.759307,0.604829,2.210832,2.239143,0.028311
1738668732.542477,t195,highpos_24.jpg,1738668731.945484,1738668732.542477,0.596992,1.161782,1.186178,0.024396
1738668736.114671,t196,highpos_17.jpg,1738668735.517056,1738668736.114671,0.597615,2.941291,2.974579,0.033288
1738668738.066511,t197,neutral_10.jpg,1738668737.468648,1738668738.066511,0.597863,1.328982,1.353977,0.024996
1738668739.809605,t198,highpos_22.jpg,1738668739.206336,1738668739.809605,0.603269,1.114541,1.139825,0.025284
1738668742.128541,t199,neutral_11.jpg,1738668741.529005,1738668742.128541,0.599536,1.710519,1.719399,0.008880
1738668745.565051,t200,highpos_28.jpg,1738668744.966395,1738668745.565051,0.598656,2.824213,2.837854,0.013641
1738668747.837121,t201,highpos_04.jpg,1738668747.233466,1738668747.837121,0.603655,1.647085,1.668415,0.021330
1738668751.326374,t202,highpos_02.jpg,1738668750.729710,1738668751.326374,0.596664,2.880705,2.892590,0.011885
1738668753.052758,t203,highpos_08.jpg,1738668752.445315,1738668753.052758,0.607443,1.085416,1.118941,0.033524
1738668754.734259,t204,neutral_09.jpg,1738668754.134899,1738668754.734259,0.599361,1.073054,1.082141,0.009087
1738668757.130611,t205,neutral_04.jpg,1738668756.520790,1738668757.130611,0.609821,1.771301,1.786531,0.015229
1738668759.473496,t206,highpos_27.jpg,1738668758.867414,1738668759.473496,0.606082,1.725325,1.736803,0.011478
1738668761.282528,t207,highpos_07.jpg,1738668760.678342,1738668761.282528,0.604186,1.175713,1.204846,0.029133
1738668763.053995,t208,highpos_26.jpg,1738668762.449178,1738668763.053995,0.604817,1.149666,1.166649,0.016983
1738668764.953716,t209,neutral_23.jpg,1738668764.352311,1738668764.953716,0.601404,1.277988,1.298316,0.020329
1738668767.624401,t210,neutral_17.jpg,1738668767.028540,1738668767.624401,0.595860,2.046334,2.074825,0.028491
1738668770.535782,t211,neutral_21.jpg,1738668769.930101,1738668770.535782,0.605681,2.284673,2.305700,0.021028
1738668774.003630,t212,neutral_19.jpg,1738668773.406327,1738668774.003630,0.597303,2.847476,2.870546,0.023069
1738668777.061681,t213,neutral_16.jpg,1738668776.462107,1738668777.061681,0.599574,2.436552,2.458477,0.021924
1738668779.936643,t214,highpos_09.jpg,1738668779.336462,1738668779.936643,0.600181,2.254717,2.274781,0.020064
1738668781.623094,t215,neutral_14.jpg,1738668781.018115,1738668781.623094,0.604979,1.058206,1.081472,0.023266
1738668784.192572,t216,neutral_18.jpg,1738668783.589081,1738668784.192572,0.603491,1.945378,1.965987,0.020609
1738668787.508390,t217,neutral_03.jpg,1738668786.913419,1738668787.508390,0.594971,2.704910,2.720847,0.015937
1738668790.708369,t218,highpos_15.jpg,1738668790.104187,1738668790.708369,0.604182,2.576313,2.595797,0.019484
1738668793.911825,t219,highpos_01.jpg,1738668793.313441,1738668793.911825,0.598384,2.588822,2.605072,0.016250
1738668796.313449,t220,highpos_29.jpg,1738668795.713595,1738668796.313449,0.599854,1.772451,1.801770,0.029319
1738668798.668604,t221,neutral_06.jpg,1738668798.051471,1738668798.668604,0.617133,1.720891,1.738022,0.017131
1738668801.606369,t222,highpos_06.jpg,1738668801.010601,1738668801.606369,0.595768,2.343992,2.341997,-0.001995
1738668805.196975,t223,highpos_05.jpg,1738668804.601278,1738668805.196975,0.595697,2.966681,2.994909,0.028228
1738668808.237486,t224,neutral_24.jpg,1738668807.642669,1738668808.237486,0.594817,2.416134,2.445694,0.029560
1738668810.943328,t225,neutral_12.jpg,1738668810.345356,1738668810.943328,0.597972,2.070030,2.107869,0.037839
1738668812.945215,t226,highpos_14.jpg,1738668812.344128,1738668812.945215,0.601087,1.369476,1.400800,0.031324
1738668815.132925,t227,highpos_10.jpg,1738668814.531847,1738668815.132925,0.601078,1.550665,1.586632,0.035968
1738668818.289582,t228,neutral_20.jpg,1738668817.688355,1738668818.289582,0.601227,2.526967,2.555430,0.028463
