CrossTime,SceneTime,PicDuration,Target_ITI,Actual_ITI,ITI_Error,Block,Trial,Stimulus
1730815237.775165,1730815239.937522,0.600000,2.769287,2.752665,-0.016622,1,24,highpos_15.jpg
1730815240.532979,1730815242.325261,0.600000,2.396806,2.387739,-0.009067,1,25,lowneg_18.jpg
1730815242.921965,1730815245.274318,0.600000,2.946267,2.949057,0.002790,1,26,highpos_29.jpg
1730815245.868304,1730815247.009632,0.600000,1.733126,1.735314,0.002188,1,27,neutral_16.jpg
1730815247.602965,1730815249.446255,0.600000,2.441277,2.436623,-0.004654,1,28,lowneg_25.jpg
1730815250.041395,1730815250.518529,0.600000,1.081760,1.072274,-0.009486,1,29,highneg_14.jpg
1730815251.111520,1730815252.661379,0.600000,2.153620,2.142850,-0.010770,1,30,neutral_11.jpg
1730815253.255087,1730815254.264166,0.600000,1.608856,1.602787,-0.006069,1,31,lowpos_03.jpg
1730815254.861186,1730815257.051473,0.600000,2.796678,2.787307,-0.009371,1,32,lowpos_02.jpg
1730815257.646879,1730815259.830639,0.600000,2.785241,2.779166,-0.006075,1,33,lowpos_09.jpg
1730815260.427582,1730815261.396560,0.600000,1.567029,1.565921,-0.001108,1,34,lowpos_28.jpg
1730815261.995304,1730815262.689644,0.600000,1.294939,1.293084,-0.001855,1,35,lowneg_16.jpg
1730815263.280215,1730815265.194785,0.600000,2.510847,2.505141,-0.005706,1,36,highpos_26.jpg
1730815265.790199,1730815266.850362,0.600000,1.663009,1.655577,-0.007432,1,37,highneg_20.jpg
1730815267.439179,1730815268.309693,0.600000,1.467652,1.459331,-0.008321,1,38,highpos_28.jpg
1730815268.904114,1730815270.890401,0.600000,2.569193,2.580708,0.011515,1,39,highpos_02.jpg
1730815271.469564,1730815273.493842,0.600000,2.624955,2.603441,-0.021514,1,40,highneg_13.jpg
1730815274.191487,1730815276.062597,0.600000,2.569452,2.568755,-0.000697,1,41,neutral_06.jpg
1730815276.657442,1730815278.515225,0.600000,2.456067,2.452628,-0.003439,1,42,highneg_22.jpg
1730815279.107597,1730815279.759755,0.600000,1.244986,1.244530,-0.000456,1,43,lowneg_20.jpg
1730815280.355424,1730815281.433030,0.600000,1.671941,1.673275,0.001334,1,44,highpos_12.jpg
1730815282.028634,1730815282.488052,0.600000,1.047517,1.055022,0.007505,1,45,highpos_22.jpg
1730815283.072015,1730815285.062617,0.600000,2.588569,2.574565,-0.014004,1,46,lowpos_21.jpg
1730815285.656380,1730815287.026995,0.600000,1.976917,1.964378,-0.012540,1,47,neutral_15.jpg
1730815287.623093,1730815288.635445,0.600000,1.602708,1.608450,0.005742,1,48,lowneg_06.jpg
1730815289.219323,1730815290.629742,0.600000,2.012251,1.994297,-0.017954,1,49,lowpos_31.jpg
1730815291.221654,1730815292.678482,0.600000,2.059459,2.048740,-0.010718,1,50,neutral_14.jpg
1730815293.269928,1730815294.856963,0.600000,2.085367,2.178481,0.093113,1,51,highpos_07.jpg
1730815295.344974,1730815295.845454,0.600000,1.093701,0.988491,-0.105210,1,52,highpos_27.jpg
1730815296.430202,1730815296.838762,0.600000,1.003615,0.993308,-0.010306,1,53,highneg_25.jpg
1730815297.432161,1730815299.010336,0.600000,2.182426,2.171574,-0.010852,1,54,highneg_23.jpg
1730815299.600027,1730815301.701532,0.600000,2.696438,2.691196,-0.005242,1,55,neutral_05.jpg
1730815302.296233,1730815303.196977,0.600000,1.490377,1.495445,0.005068,1,56,lowneg_24.jpg
